metric,count,min,max,mean,std
clean_audio_duration,1360,5.040000,5.904000,5.524200,0.262545
pesq_score,1360,1.045105,3.554267,1.655595,0.381484
stoi_score,1360,0.000000,0.435040,0.062782,0.056885
mse_score,1360,0.000017,0.000027,0.000023,0.000001
buffer_queue_avg,1360,0.166667,6.000000,2.607668,0.814974
buffer_droped_avg,1360,0.000000,0.000000,0.000000,0.000000
worklet_ms_avg,1360,0.000000,0.144167,0.051068,0.030707
worker_ms_avg,1360,0.666667,4.966667,1.056829,0.269198
model1_ms_avg,1360,0.150000,2.500000,0.314585,0.095810
model2_ms_avg,1360,0.400000,3.350000,0.644786,0.193559
